Jahr	Monat	NÜ I	NaC	Ambulanz	SA-Fahrten	SA-Versorgungen	PZ-Übernachtungen	Bemerkung
2024	Januar	172	38	173	3	20	200	
2024	Februar	158	35	138	4	13	219	
2024	März	158	20	111	4	30	246	
2024	April	87	26	116	2	3	113	NÜ I nur bis 15.04.2024(?); Pflegezimmer Schließung ab 19.04.
2024	Mai		34	108	6	67	102	Pflegezimmer Schließung bis 07.05.
2024	Juni		48	126	5	16	113	
2024	Juli		33	141	8	45	88	
2024	August		60	69	8	97	30	Ambulanz Schließung 17.08.–02.09.24
2024	September		36	112	8	81	88	
2024	Oktober		37	135	8	76	110	
2024	November	138	39	163	8	53	135	
2024	Dezember	150	35	84	3	29	177	
2024	Gesamt	863	441	1476	67	530	1621	
2025	Januar	197	56	145	9	60	176	
2025	Februar	177	89	151	8	58	145	
2025	März	160	53	116	7	70	113	
2025	April	70	41	126	7	79	121	NÜ I bis 15.04.
2025	Mai		27	90	8	61	130	
2025	Juni		40	90	8	83	101	
2025	Juli		71	134	9	65	75	
2025	August		22	59	8	114	97	Ambulanz geschlossen 01.08.–08.08.
2025	September		35	100	6	78	147	
2025	Oktober		90	89	9	46	116	
2025	November	156	45	97	8	74	118	
2025	Dezember	190	32	70	3	14	121	
2025	Gesamt	950	601	1267	90	802	1460	
2026	Januar	164	2	93	8	72	112	
2026	Februar	180	1	73	8	37	116	
2026	März	235	11	115	7	32	65	
2026	April	100	11	82	8	67	56	NÜ I bis 15.04.
2026	Mai		12	77	6	53	34	
2026	Juni			124	8	68	35	NaC-Wert fehlt (im Original „?“)
2026	Juli							
2026	August							
2026	September							
2026	Oktober							
2026	November							
2026	Dezember							
2026	Gesamt (bis Juni)	679	37	564	45	329	418	
